epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.25115,3.18945,5.63278,2.97072,0,0,0,0,4.40263,6.34213,3.61302,0,0,0
2,4.25575,2.76319,5.39078,2.65566,0,0,0,0,4.25089,5.62099,3.39738,1.17822e-06,1.17822e-06,1.17822e-06
3,6.40112,3.11469,5.68366,3.19664,0.00057,0.06667,0.00081,0.00022,3.82721,5.59472,3.29445,2.33288e-06,2.33288e-06,2.33288e-06
4,8.32162,3.12978,5.82686,2.76334,0.16706,0.01667,0.00544,0.0027,3.45875,5.25141,3.38119,3.46397e-06,3.46397e-06,3.46397e-06
5,10.1159,2.89669,5.78809,2.94952,0.00015,0.01667,0.00403,0.00242,3.34748,5.34509,3.39287,4.5715e-06,4.5715e-06,4.5715e-06
6,12.0303,2.85378,5.37146,2.98935,0.00017,0.01667,0.00799,0.004,3.34754,5.38704,3.46174,5.65548e-06,5.65548e-06,5.65548e-06
7,13.7837,2.58039,5.42849,2.63665,0.00019,0.01667,0.01592,0.00637,3.38074,5.41561,3.53462,6.71588e-06,6.71588e-06,6.71588e-06
8,15.5537,3.10283,5.36073,2.91703,0.00024,0.01667,0.00094,0.00028,3.33469,5.42227,3.56231,7.75273e-06,7.75273e-06,7.75273e-06
9,17.3815,2.82218,5.18292,2.79606,0.00032,0.01667,0.00067,0.00024,3.26299,5.50081,3.56253,8.76602e-06,8.76602e-06,8.76602e-06
10,19.0733,2.67893,5.12229,2.7307,0.00033,0.01667,0.00078,0.00031,3.18907,5.43861,3.60938,9.75574e-06,9.75574e-06,9.75574e-06
11,21.01,2.63377,5.28576,2.64652,0.00034,0.01667,0.00091,0.00055,3.14988,5.43225,3.60301,1.07219e-05,1.07219e-05,1.07219e-05
12,23.6129,3.0476,5.41112,2.83784,0.00036,0.01667,0.00148,0.00077,3.06332,5.4431,3.56938,1.16645e-05,1.16645e-05,1.16645e-05
13,25.6418,2.56336,5.24992,2.82199,0.00036,0.01667,0.00192,0.00113,3.00233,5.388,3.56733,1.25835e-05,1.25835e-05,1.25835e-05
14,27.4301,2.96562,5.28097,2.98569,0.00037,0.01667,0.00243,0.0017,2.99771,5.35662,3.5287,1.3479e-05,1.3479e-05,1.3479e-05
15,29.1576,2.92449,6.32424,2.8832,0.00036,0.01667,0.00214,0.0015,2.9979,5.35524,3.52647,1.43509e-05,1.43509e-05,1.43509e-05
16,30.7943,2.74285,5.28289,2.7232,0.00036,0.01667,0.00333,0.00233,2.95338,5.37107,3.51424,1.51993e-05,1.51993e-05,1.51993e-05
17,32.5649,2.88033,5.09367,2.6551,0.00033,0.01667,0.00191,0.00115,2.93881,5.34125,3.50392,1.60241e-05,1.60241e-05,1.60241e-05
18,34.2421,2.71956,5.29138,2.66444,0.00033,0.01667,0.00191,0.00115,2.93881,5.34125,3.50392,1.68253e-05,1.68253e-05,1.68253e-05
19,36.0182,2.97983,5.31279,2.62242,0.0003,0.01667,0.00158,0.00074,3.00206,5.34599,3.47142,1.7603e-05,1.7603e-05,1.7603e-05
20,37.7852,2.91067,5.21338,2.77262,0.0003,0.01667,0.00158,0.00074,3.00206,5.34599,3.47142,1.83571e-05,1.83571e-05,1.83571e-05
21,39.67,2.80211,5.32163,2.89697,0.00027,0.01667,0.00171,0.00051,3.11545,5.37978,3.45876,1.90876e-05,1.90876e-05,1.90876e-05
22,41.3435,2.85652,5.26329,2.79231,0.00027,0.01667,0.00171,0.00051,3.11545,5.37978,3.45876,1.97946e-05,1.97946e-05,1.97946e-05
23,43.241,3.08302,5.28215,2.97531,0.00023,0.01667,0.00124,0.0004,3.1912,5.37131,3.40737,2.0478e-05,2.0478e-05,2.0478e-05
24,45.0694,3.05179,5.32164,2.97607,0.00023,0.01667,0.00124,0.0004,3.1912,5.37131,3.40737,2.11379e-05,2.11379e-05,2.11379e-05
25,46.8143,2.90422,5.26012,2.78798,0.00042,0.03333,0.00129,0.00037,3.23377,5.39557,3.3963,2.17741e-05,2.17741e-05,2.17741e-05
26,48.4447,2.758,5.1169,2.60584,0.00042,0.03333,0.00129,0.00037,3.23377,5.39557,3.3963,2.23869e-05,2.23869e-05,2.23869e-05
27,50.1524,2.7462,5.11949,2.80784,0.00055,0.05,0.00079,0.00022,3.32769,5.40567,3.40133,2.2976e-05,2.2976e-05,2.2976e-05
28,51.9738,2.89903,5.35095,2.91176,0.00055,0.05,0.00079,0.00022,3.32769,5.40567,3.40133,2.35417e-05,2.35417e-05,2.35417e-05
29,53.7787,2.99909,5.53471,2.82542,0.00054,0.05,0.00066,0.00016,3.38361,5.41354,3.40873,2.40837e-05,2.40837e-05,2.40837e-05
30,55.5573,3.04274,5.22146,3.00821,0.00054,0.05,0.00066,0.00016,3.38361,5.41354,3.40873,2.46022e-05,2.46022e-05,2.46022e-05
31,57.4437,2.73233,5.24316,2.92105,0.00052,0.05,0.00057,0.00011,3.50383,5.34376,3.41029,2.50971e-05,2.50971e-05,2.50971e-05
32,59.2406,2.3556,5.31345,2.44341,0.00052,0.05,0.00057,0.00011,3.50383,5.34376,3.41029,2.55685e-05,2.55685e-05,2.55685e-05
33,61.1337,3.1004,5.20818,3.13466,0.00051,0.05,0.00047,9e-05,3.56818,5.35051,3.40831,2.60163e-05,2.60163e-05,2.60163e-05
34,63.0089,2.90388,5.24501,2.84769,0.00051,0.05,0.00047,9e-05,3.56818,5.35051,3.40831,2.64405e-05,2.64405e-05,2.64405e-05
35,64.9773,2.87256,5.11403,2.99406,0.0005,0.05,0.00046,8e-05,3.64906,5.33799,3.41132,2.68412e-05,2.68412e-05,2.68412e-05
36,66.8485,2.65393,5.36585,2.58696,0.0005,0.05,0.00046,8e-05,3.64906,5.33799,3.41132,2.72183e-05,2.72183e-05,2.72183e-05
37,69.711,2.86953,5.27509,2.88864,0.00066,0.06667,0.00067,0.00011,3.67259,5.2902,3.37881,2.75718e-05,2.75718e-05,2.75718e-05
38,71.6899,2.72578,5.09133,2.54075,0.00066,0.06667,0.00067,0.00011,3.67259,5.2902,3.37881,2.79018e-05,2.79018e-05,2.79018e-05
39,73.4732,2.77098,5.09901,2.81083,0.00065,0.06667,0.00067,0.00012,3.64378,5.23085,3.36652,2.82082e-05,2.82082e-05,2.82082e-05
40,75.1701,2.67036,5.01091,2.5849,0.00065,0.06667,0.00067,0.00012,3.64378,5.23085,3.36652,2.84911e-05,2.84911e-05,2.84911e-05
41,76.9638,3.25294,5.28347,3.01735,0.00065,0.06667,0.00061,0.00014,3.62917,5.27727,3.35041,2.87504e-05,2.87504e-05,2.87504e-05
42,78.7937,2.56213,5.12162,2.6301,0.00065,0.06667,0.00061,0.00014,3.62917,5.27727,3.35041,2.89861e-05,2.89861e-05,2.89861e-05
43,80.5768,2.5072,5.24596,2.47703,0.00064,0.06667,0.0006,0.00016,3.62522,5.32725,3.32486,2.91983e-05,2.91983e-05,2.91983e-05
44,82.9567,2.64089,5.28112,2.55568,0.00064,0.06667,0.0006,0.00016,3.62522,5.32725,3.32486,2.93869e-05,2.93869e-05,2.93869e-05
45,85.0479,2.7782,5.42104,2.65898,0.00065,0.06667,0.00069,0.0002,3.5738,5.29279,3.27547,2.9552e-05,2.9552e-05,2.9552e-05
